Participant_ID,ABCB1,ABCG2,ABCC1,ABCC2,ABCC3,ABCC4,SLC10A2,SLC15A1,SLC16A1,SLC22A1,SLC22A2,SLC22A3,SLC22A4,SLC22A5,SLC22A6,SLC22A7,SLC22A8,SLC28A2,SLC29A1,SLC29A2,SLC51A,SLC51B,SLCO2B1,CYP1A2,CYP2A6,CYP2D6,CYP2E1,CYP3A4,CYP3A5,SULT1A1,SULT1A3
H4001,1417,1085,2888,49,1859,2053,13,35,3045,24,0,66,377,447,0,0,0,34,1235,83,447,337,8489,0,0,14,43,48,245,672,1
H4004,9017,2481,800,11,9949,737,17,1149,6649,17,2,73,374,1907,0,0,0,3218,462,732,4,3046,1528,0,0,11,4,154,2264,6694,1
H4006,537,136,2446,9,9648,685,10,1610,1001,6,1,12,198,991,0,0,1,431,834,778,15,1368,2396,1,0,20,2,54,13024,608,1
H4007,2276,445,2360,14,8113,1195,17,693,1934,21,2,23,67,1122,0,1,0,6058,888,769,8,1405,2450,0,0,12,12,77,2681,1938,2
H4008,10367,6040,1532,40,7292,1678,383,1116,12895,18,1,50,382,3964,0,0,2,3229,807,670,54,2512,4108,0,0,62,6,1129,9130,3420,1
H4009,9,20,1,0,18,3,4,1,15,0,0,0,5,2,0,0,0,1,1,1,0,26,2,5,0,0,0,7,5,18,0
H4010,5654,2328,1312,33,6472,2175,2,816,5028,17,1,61,211,1997,1,0,0,2968,863,584,47,1484,4648,0,0,59,13,134,2179,2558,1
H4013,6252,7671,1076,23,10091,3341,21,685,14449,12,1,509,413,4479,0,0,2,509,695,705,1095,2139,2437,0,1,30,6,102,9512,3061,3
H4014,343,93,1467,19,4615,997,13,279,866,7,5,38,59,845,0,1,0,1349,475,365,3,408,1604,0,0,19,8,26,3506,1975,0
H4015,7822,3660,1249,30,7317,1925,16,777,6862,10,0,41,344,3450,0,1,0,1072,745,540,75,1998,3578,0,0,44,11,1289,2096,2536,2
H4016,2676,1046,1321,16,7040,1017,12,417,3421,8,1,76,144,1715,0,0,1,4584,712,577,22,1397,3325,0,0,42,13,171,1692,4652,2
